City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Bredasdorp,-34.5322,20.0403,71.6,73,12,17.27,ZA,few clouds
80,Kruisfontein,-34.0033,24.7314,71.01,81,0,1.01,ZA,clear sky
81,New Norfolk,-42.7826,147.0587,57.99,76,12,1.99,AU,few clouds
82,Sysert,56.4953,60.8192,33.8,100,90,8.95,RU,light snow
83,Mae Hong Son,19.3003,97.9685,70.0,51,10,1.41,TH,clear sky
84,Yerkoy,39.6381,34.4672,49.87,51,0,4.9,TR,clear sky
85,Codrington,-38.2667,141.9667,58.3,79,91,15.03,AU,overcast clouds
86,Novoagansk,61.9449,76.6625,34.66,99,100,10.29,RU,light rain
87,Upata,8.0086,-62.3989,87.44,41,100,6.64,VE,overcast clouds
88,Lagoa,39.05,-27.9833,59.61,90,100,20.94,PT,overcast clouds
89,Narsaq,60.9167,-46.05,33.8,25,1,24.16,GL,clear sky
90,Victoria,22.2855,114.1577,66.99,68,0,3.98,HK,clear sky
91,Clyde River,70.4692,-68.5914,-14.8,84,40,3.44,CA,scattered clouds
92,Souillac,-20.5167,57.5167,78.8,83,20,5.75,MU,few clouds
93,Georgetown,5.4112,100.3354,84.0,83,20,2.3,MY,few clouds
94,Cherskiy,68.75,161.3,-9.9,81,0,7.09,RU,clear sky
95,Shimoda,34.6667,138.95,51.03,59,0,14.27,JP,clear sky
96,Kanigiri,15.4,79.5167,69.58,67,25,6.08,IN,scattered clouds
97,Amapa,1.0,-52.0,83.08,72,100,4.18,BR,overcast clouds
98,Saint George,37.1041,-113.5841,48.99,49,1,3.44,US,clear sky
99,Cabedelo,-6.9811,-34.8339,89.6,58,40,10.36,BR,scattered clouds
100,Ancud,-41.8697,-73.8203,77.0,44,0,8.05,CL,clear sky
101,Touros,-5.1989,-35.4608,87.8,51,40,12.66,BR,scattered clouds
102,Baoshan,46.5586,131.4244,-6.93,88,47,3.51,CN,scattered clouds
103,Kutum,14.2,24.6667,60.78,28,0,10.33,SD,clear sky
104,Jamestown,42.097,-79.2353,19.4,53,1,17.27,US,clear sky
105,Pemangkat,1.1667,108.9667,77.38,89,100,8.28,ID,overcast clouds
106,Yining,29.0361,114.5636,51.6,86,6,1.16,CN,clear sky
107,Kavaratti,10.5669,72.642,81.21,66,0,10.0,IN,clear sky
108,Pyaozerskiy,65.8333,31.1667,17.62,94,81,12.73,RU,broken clouds
109,Bluff,-46.6,168.3333,53.92,85,19,3.31,NZ,few clouds
110,Nolinsk,57.5596,49.9363,-2.6,90,100,9.89,RU,light snow
111,Torbay,47.6666,-52.7314,37.0,87,90,6.91,CA,light rain
112,Chokurdakh,70.6333,147.9167,-18.65,87,97,4.85,RU,overcast clouds
113,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,17.27,CA,snow
114,Matara,5.9485,80.5353,76.59,87,93,9.91,LK,overcast clouds
115,Cape Town,-33.9258,18.4232,77.0,73,40,16.11,ZA,scattered clouds
116,Rumford,44.5537,-70.5509,34.0,54,69,7.0,US,broken clouds
117,Yellowknife,62.456,-114.3525,-42.0,66,1,3.44,CA,mist
118,Tabou,4.423,-7.3528,82.27,82,50,9.31,CI,light rain
119,Atuona,-9.8,-139.0333,80.17,77,57,22.41,PF,broken clouds
120,Araguaina,-7.1911,-48.2072,85.82,61,97,5.48,BR,overcast clouds
121,Vestmannaeyjar,63.4427,-20.2734,37.4,75,20,29.93,IS,few clouds
122,Klaksvik,62.2266,-6.589,33.8,69,75,25.32,FO,light rain
123,Arraial Do Cabo,-22.9661,-42.0278,77.0,73,75,4.61,BR,broken clouds
124,Tuatapere,-46.1333,167.6833,51.58,86,1,3.74,NZ,clear sky
125,Nabire,-3.3667,135.4833,75.61,85,100,4.07,ID,overcast clouds
126,Doha,25.2867,51.5333,70.0,83,0,5.75,QA,clear sky
127,Vardo,70.3705,31.1107,27.14,94,98,28.03,NO,light snow
128,Padang,-0.9492,100.3543,75.2,88,20,2.3,ID,few clouds
129,Fairlie,55.756,-4.8556,39.0,85,88,5.01,GB,overcast clouds
130,Linguere,15.3953,-15.1193,77.0,36,0,16.11,SN,clear sky
131,Pisco,-13.7,-76.2167,75.0,83,75,9.22,PE,broken clouds
132,Geraldton,-28.7667,114.6,71.6,88,90,23.02,AU,overcast clouds
133,Barrow,71.2906,-156.7887,-0.4,71,90,10.36,US,overcast clouds
134,Kangaatsiaq,68.3065,-53.4641,16.63,82,19,17.92,GL,few clouds
135,Mayo,38.8876,-76.5119,48.99,34,75,10.36,US,broken clouds
136,Severo-Kurilsk,50.6789,156.125,20.12,94,100,16.04,RU,light snow
137,Sibolga,1.7427,98.7792,77.47,80,72,3.8,ID,broken clouds
138,Provideniya,64.3833,-173.3,2.08,92,71,4.09,RU,broken clouds
139,Terney,45.0503,136.6092,3.52,87,28,10.11,RU,scattered clouds
140,Patrasaer,23.2167,87.5167,61.5,67,59,7.94,IN,broken clouds
141,Chabahar,25.2919,60.643,69.06,54,0,5.73,IR,clear sky
142,Boaco,12.4722,-85.6586,89.6,55,40,6.91,NI,scattered clouds
143,Carnarvon,-24.8667,113.6333,80.6,100,75,10.36,AU,broken clouds
144,Plettenberg Bay,-34.0527,23.3716,71.22,75,8,4.79,ZA,clear sky
145,Hasaki,35.7333,140.8333,39.2,87,20,6.91,JP,few clouds
146,Pompeu,-19.2244,-44.9353,78.1,83,100,9.1,BR,light rain
147,Chulakivka,46.3576,32.3514,26.6,80,0,6.71,UA,clear sky
148,Puerto Del Rosario,28.5004,-13.8627,66.2,48,40,19.57,ES,scattered clouds
149,Awbari,26.5921,12.7805,72.19,20,72,13.31,LY,broken clouds
150,Egvekinot,66.3167,-179.1667,-8.09,81,99,7.92,RU,overcast clouds
151,Vao,-22.6667,167.4833,77.2,87,1,8.08,NC,clear sky
152,Caravelas,-17.7125,-39.2481,83.12,79,93,10.78,BR,overcast clouds
153,Tilichiki,60.4667,166.1,6.42,92,100,13.85,RU,overcast clouds
154,San Patricio,28.017,-97.5169,64.4,82,90,8.05,US,overcast clouds
